case,gt_q_d_n,mu_q_d_n,hit90_q_d_n,gt_q_d,mu_q_d,hit90_q_d,gt_q_s_n,mu_q_s_n,hit90_q_s_n,gt_q_s,mu_q_s,hit90_q_s,gt_inv_temp,mu_inv_temp,hit90_inv_temp,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error
75,0.6137880057307447,0.57845765,1.0,0.9477786867358369,0.9024842,1.0,0.48521227787941024,0.67853665,1.0,0.5834303822525253,0.6971164,1.0,99.0290528434283,77.04539,0.0,0.3469649535291278,0.24578121,1.0
17,0.251218274492233,0.390725,1.0,0.8149591409455208,0.8493833,1.0,0.647596533606533,0.5362606,1.0,0.637995382414858,0.7560991,1.0,1.3645803734783897,1.1404258,1.0,0.036926247077356686,0.24524438,1.0
69,0.796057608981576,0.8698699,1.0,0.6172043548445649,0.6559573,1.0,0.46380550969037204,0.3393705,1.0,0.664163277885552,0.66814137,1.0,49.68793448695152,43.9262,1.0,0.13283201389425622,0.23996678,1.0
185,0.7269442439216305,0.77370095,1.0,0.9617891868036585,0.98134387,1.0,0.5742254328152939,0.5712528,1.0,0.9371646512488225,0.8801534,1.0,46.19998514720424,47.45245,1.0,0.1501000412822821,0.23355167,1.0
123,0.12999801645597897,0.17023356,1.0,0.9401482666644323,0.95653623,1.0,0.9050520661473678,0.5619804,1.0,0.7306482367712683,0.74088955,1.0,11.920056336861803,11.27132,1.0,0.22330274180244267,0.23180737,1.0
46,0.33788942310626946,0.5936013,1.0,0.5497354713935381,0.57963145,1.0,0.863994714002216,0.520385,1.0,0.6783025553294479,0.70645124,1.0,4.918941921732566,13.101965,1.0,0.1523018850912808,0.22866198,1.0
31,0.6425542402017856,0.6507207,1.0,0.7582800990136941,0.74892914,1.0,0.26245979369991046,0.6247977,1.0,0.6094703631987393,0.6160294,1.0,80.65287326764691,82.85468,1.0,0.28351695231115287,0.22774099,1.0
21,0.7842060590330043,0.6195813,1.0,0.9101488918367715,0.83827955,1.0,0.5637423066453957,0.4821388,1.0,0.7788733648907162,0.740317,1.0,5.5870040492166995,6.3291826,1.0,0.3809794764849227,0.21864176,1.0
4,0.8825204306423593,0.87091196,1.0,0.5964981365302371,0.62321377,1.0,0.3085521293215352,0.30283788,1.0,0.969221168603148,0.9633151,1.0,99.27267026692624,74.22488,0.0,0.17902692827710467,0.2158537,1.0
92,0.2074740126834108,0.2788228,1.0,0.6095842954135435,0.61402017,1.0,0.8377571081083106,0.54663783,1.0,0.6498486663345362,0.6475787,1.0,70.10261061943436,78.67742,1.0,0.23899975718329622,0.21054089,1.0
186,0.7347403676046522,0.8001737,0.0,0.7373599202689733,0.77557945,1.0,0.8593112129669164,0.58772105,1.0,0.6935833989690205,0.63928145,1.0,65.57223580147607,79.61584,1.0,0.149656702099751,0.20691532,1.0
2,0.7139601502903165,0.56763697,1.0,0.7701850159521232,0.73346424,1.0,0.9715826893441868,0.46420103,0.0,0.7807911186398768,0.74861676,1.0,2.457026544551052,2.8044186,1.0,0.016171350386312615,0.20552124,1.0
98,0.8303156530817593,0.55000395,1.0,0.7917637031982352,0.7208827,1.0,0.2282239846788925,0.46803257,1.0,0.7000162097415394,0.74798423,1.0,2.875537309238874,3.3419979,1.0,0.03498587225462357,0.19893882,1.0
133,0.13013599496183248,0.122224495,1.0,0.6984588870948425,0.6899552,1.0,0.6134540220474424,0.60162985,1.0,0.7060524831024078,0.6457134,1.0,91.13661057827824,73.655235,1.0,0.14687005517420884,0.1902858,1.0
7,0.39940338770048445,0.49580926,1.0,0.7978853412780914,0.8274995,1.0,0.5976236920431113,0.5816317,1.0,0.9674705573600609,0.9282125,1.0,99.67406543796977,71.23895,0.0,0.09377388375934341,0.1873782,0.0
114,0.7861394602918457,0.7139457,1.0,0.9341994108932657,0.8640642,0.0,0.06517384730838338,0.07111035,1.0,0.8536256270246869,0.8510495,1.0,69.43702658939786,76.629715,1.0,0.2767168785895833,0.1860304,1.0
180,0.33286786731861673,0.34102744,1.0,0.6548714302238594,0.64643055,1.0,0.20296825848093725,0.14236666,1.0,0.8222279290163459,0.7902073,1.0,99.26065409449303,82.88162,0.0,0.1279415612738503,0.1823775,1.0
72,0.03242190586843785,0.21964811,1.0,0.6952444531795037,0.7287898,0.0,0.07929921025424069,0.056672897,1.0,0.9765443430129706,0.9524101,1.0,72.47625454562275,75.978546,1.0,0.12273016470403532,0.18164124,0.0
104,0.4978168484024895,0.46956214,1.0,0.5747640854215983,0.5682825,1.0,0.7152986464845074,0.7319206,1.0,0.9652328446086107,0.78743756,1.0,46.88732082247678,54.02699,1.0,0.13422341678898375,0.17927606,1.0
130,0.06650718892597984,0.601693,0.0,0.5721606074616041,0.64364105,1.0,0.7495252759895008,0.47991017,1.0,0.9133542460170008,0.73265874,1.0,6.983973206009929,8.953108,1.0,0.13186599561821388,0.1785626,1.0
168,0.400887674190869,0.5933387,0.0,0.7570738264889667,0.81450516,1.0,0.7244885376247164,0.60803735,0.0,0.8612320501884017,0.93334293,0.0,44.42175840845324,57.905632,1.0,0.22768956767832252,0.17843544,1.0
132,0.3888391164952668,0.116976276,1.0,0.5866109225772185,0.5660513,0.0,0.28937134401928,0.44844982,1.0,0.8309991047797718,0.8141932,1.0,67.86508803979875,75.89172,1.0,0.2277261619582945,0.17718276,1.0
183,0.16974734270751757,0.02078965,0.0,0.9384725100521472,0.92420685,1.0,0.238583573733951,0.25748625,1.0,0.9697922322534815,0.9226099,1.0,62.575931136393294,52.477936,1.0,0.13529156019009023,0.17108099,1.0
197,0.4494121200843856,0.49731457,1.0,0.7123719192952983,0.71632177,1.0,0.8854015588762081,0.6390056,1.0,0.5273721267957413,0.6175852,1.0,81.25836911696346,78.408356,1.0,0.14203133420880387,0.16527481,1.0
171,0.7187316067663361,0.693318,1.0,0.6969463280394375,0.6838673,1.0,0.007906513914802349,0.46170416,0.0,0.6454943277998526,0.72516394,1.0,15.506372222572702,14.63372,1.0,0.02544515905744473,0.16185625,1.0
68,0.9224975406292315,0.9279021,1.0,0.5679864151578999,0.6229581,1.0,0.8431010417357776,0.6686608,1.0,0.7920332553600269,0.7800344,1.0,84.26848742148944,56.0333,1.0,0.16546016000625074,0.15148064,1.0
15,0.9067143518336536,0.8984517,1.0,0.7990782513589179,0.80361575,1.0,0.5263258609132819,0.4868051,1.0,0.6944995747265623,0.7589691,1.0,18.604265636525145,17.550352,1.0,0.05854542095939511,0.14670333,1.0
115,0.6033955692274788,0.52349144,1.0,0.8869256833009156,0.86066467,1.0,0.6927716215082483,0.5198606,1.0,0.8166574577989265,0.7361855,1.0,11.437065700432976,11.8924265,1.0,0.21798743011427596,0.14517713,1.0
55,0.004062844421850231,0.046410404,1.0,0.6165333198392715,0.60881245,1.0,0.606611429829671,0.56418765,1.0,0.6947051434687919,0.67093396,1.0,27.544655622050605,27.708357,1.0,0.13313197683876227,0.1448126,1.0
84,0.5542873693023497,0.6206411,1.0,0.5304105065983644,0.59532773,1.0,0.2534413081022725,0.49656805,1.0,0.7382047904409099,0.71167773,1.0,39.67713868003754,17.203066,1.0,0.025462920169473123,0.1430322,1.0
154,0.2878869419568362,0.21710578,1.0,0.6501186126670624,0.647634,1.0,0.34618830272576695,0.53068274,1.0,0.8418804116822339,0.71837217,1.0,76.47114657366645,87.03429,1.0,0.11215845151932176,0.14189896,1.0
3,0.03794680565310926,0.031321578,1.0,0.8273824233041338,0.84240234,1.0,0.7173108841475285,0.6059956,1.0,0.6407980931102497,0.6993593,1.0,39.463729223753056,40.927376,1.0,0.020764652221574878,0.14172168,1.0
73,0.14578766842660507,0.21104495,1.0,0.8956058829157334,0.84669274,1.0,0.5089531026635891,0.55618507,1.0,0.6699994803906709,0.7707813,1.0,97.52773599362827,74.42533,1.0,0.223565680365153,0.1374657,1.0
124,0.9483969515150934,0.62722874,1.0,0.7581218345314784,0.58987707,1.0,0.4110402967925777,0.5206748,1.0,0.580016793465902,0.7176709,1.0,5.900072309275762,20.859383,1.0,0.010156513350556314,0.13559128,0.0
