q_d_n,q_d,q_s_n,q_s,inv_temp,cost_stop_error,cost_time,cost_go_error,cost_go_missing
0.0066693425,0.83109045,0.014194706,0.8292538,94.619064,1.1816053,0.0022772832,0.035303667,0.038162123
0.24590337,0.7213803,0.035132468,0.98188806,103.98554,2.0182693,0.008102677,0.13762762,0.07675831
0.30046427,0.78983915,0.13614212,0.93570364,61.856422,1.351127,0.0011456192,0.07759847,0.027556904
0.8026973,0.9745838,0.044018958,0.92860305,87.39699,1.8269237,0.0043574832,0.05657994,1.3126287
0.65731204,0.9611119,0.03401883,0.8577042,86.97817,1.0326165,0.0013606958,0.042356566,0.059522938
0.59500533,0.79249924,0.19811726,0.97999406,89.54327,1.6280203,0.003845205,0.08528465,0.015333463
0.44240376,0.8696199,0.047566622,0.93886644,59.434086,1.938155,0.0041492963,0.069376394,0.83801347
0.55173105,0.8492952,0.03900496,0.90932596,97.78855,1.7485759,0.0055125295,0.051485494,1.510204
0.6706802,0.89145994,0.033232987,0.8888869,93.688736,1.3772173,0.0027613014,0.058918472,0.024603808
0.5187427,0.9493017,0.034077846,0.8615923,66.61824,1.152942,0.00097186136,0.056644104,0.36110276
0.595763,1.0112077,0.042597644,0.84155786,72.69683,1.9200741,0.0041448153,0.041553847,0.76353097
0.76324856,0.96929497,0.054588508,0.9638752,83.74378,1.3554847,0.0025446299,0.053687956,0.13525452
0.31975877,0.7567686,0.11657825,0.9361675,54.10694,1.9244931,0.0030038531,0.09591653,0.92706925
0.0317716,0.7336074,0.07522838,0.96677256,89.96967,1.5734369,0.0031546198,0.04765059,0.13272947
0.66119957,0.8653761,0.0086048525,0.8388495,53.346294,1.3834933,0.0013860929,0.0848102,0.037625235
0.39833528,0.97021943,0.056921307,0.98292875,45.12621,1.9366113,0.0022820684,0.080201015,2.0007858
0.5384816,0.7849463,0.13078344,0.98636687,72.47352,1.2979766,0.0029253864,0.14991055,0.09063814
0.5062276,0.7587612,0.06512791,0.9438941,93.10617,2.128314,0.008383311,0.25363845,0.05491051
0.10518235,0.87475824,0.030859629,0.9366995,66.423004,1.9792279,0.0037390688,0.058724895,0.052691508
0.17975366,0.73584586,0.027471201,0.99004316,78.60949,1.908499,0.004067928,0.055516798,0.29746348
0.7512294,0.8935999,0.025612436,0.96332616,93.83646,0.9307883,0.0013951253,0.06463915,0.047511127
0.070795,0.87901425,0.066874005,0.92830527,71.62593,1.1390316,0.0010377965,0.05479341,0.2045795
0.12295532,0.836904,0.053698897,0.8632331,78.6953,1.5618311,0.0025952994,0.047811605,0.009919733
0.29775882,0.7161328,0.016134921,0.8678477,64.384636,1.6660007,0.0036729188,0.18508035,0.36656946
0.2092843,0.9746405,0.050525293,0.89132845,49.81299,1.4163774,0.000896979,0.04943987,0.7569532
0.39709103,0.7525817,0.02466597,0.84165037,61.481174,1.3396884,0.00207741,0.10325459,2.0936396
0.5316335,0.79482317,0.027501298,0.9541496,78.43553,1.3200982,0.0022280535,0.13757758,0.09733058
0.71399117,0.9444531,0.04602354,0.9435339,75.15627,1.0605547,0.0011168105,0.058826365,0.020778287
0.17390615,0.8480855,0.03846806,0.9464521,68.3833,1.9412895,0.004473816,0.036777437,0.03995482
0.3070991,0.8456197,0.048329517,0.9450554,76.5027,1.6703025,0.0036563114,0.055309504,0.6654573
0.29267406,0.7119719,0.039151,0.82448006,74.42061,1.301523,0.0023477823,0.13348508,0.30607623
0.80698377,0.9078871,0.010561978,0.8703723,96.19498,1.5217098,0.0037884293,0.06774542,0.015176098
0.40865666,0.98720837,0.08993062,0.9141004,63.219254,1.1215966,0.0008876626,0.051793862,0.016074719
0.28620565,0.9008968,0.05290073,0.9629904,54.06565,1.8885529,0.0030686131,0.079285644,1.9718953
0.17199123,0.68472576,0.047163535,0.9009069,95.41785,1.1522636,0.0024619172,0.21001823,0.020158533
0.41305256,0.8687933,0.03468689,0.93430305,61.54333,1.0537606,0.0007379305,0.108251035,0.014654418
0.7111428,0.94186896,0.03327606,0.9567009,52.509033,1.8344615,0.0022497908,0.10548168,0.121891804
0.056792855,0.936195,0.15820031,0.9497196,86.899864,1.3469638,0.0023380104,0.0401495,0.030795358
0.74906605,0.91111195,0.04312169,0.86718476,87.47992,1.5335417,0.002809512,0.06298733,0.98421484
