subject_id,eta,rho,q_d_n,q_d,q_s_n,q_s,cost_stop_error,inv_temp
NDAR_INVWDG85F4T,2.6987858,0.90915793,0.94476074,0.9161934,0.01656126,0.6751182,1.7774118,52.888866
NDAR_INV57YDKB4W,0.8419135,0.79274774,0.90640396,0.8834963,0.030895403,0.6269281,1.75178,71.705864
NDAR_INVN070J1H4,0.6899551,0.6857169,0.947741,0.9554724,0.03330414,0.6717419,1.8338798,77.891815
NDAR_INVP9L68A4A,0.13242,0.7597733,0.8648172,0.9086628,0.01816384,0.76579547,1.7850894,64.31535
NDAR_INVBRZ3742Z,0.0493078,0.53565556,0.88222003,0.89485335,0.032803956,0.69191265,1.5761498,44.39676
NDAR_INVMDXW4Y3V,1.6246061,0.8354311,0.84092766,0.8722743,0.02358855,0.74182343,1.7470841,55.49958
NDAR_INVY3LBB0K3,0.12017832,0.36072138,0.9753056,1.058137,0.010288101,0.74376,1.7801102,50.583572
NDAR_INVVKV5RYVF,2.1351783,0.78604364,0.9497343,0.9488926,0.019936768,0.6274129,1.8061982,64.0519
NDAR_INV0ZPPK2ML,1.869961,0.86181253,0.93331665,0.93163013,0.016145097,0.6713765,1.8205764,61.971413
NDAR_INVL5AY1R6V,4.88813,0.75330096,0.9264646,0.855019,0.028068736,0.6436528,1.4917754,43.809082
NDAR_INVAG81YFMT,0.2352202,0.8232587,0.8326987,0.8825516,0.020483911,0.6844112,1.7221073,59.440666
NDAR_INVKEDNL754,-0.030102039,0.8313726,0.77861875,0.8476059,0.07113148,0.7392165,1.8155681,38.713272
NDAR_INV7D8F79P8,0.44445282,0.6461193,0.811815,0.81185997,0.028842205,0.6617467,1.7167008,29.193274
NDAR_INVP5A0M52P,6.3624244,0.8929466,0.78032446,0.8244164,0.033419326,0.80767906,1.8387346,87.960495
NDAR_INV6WJ57CC2,0.33023316,0.26217648,0.94239736,0.950937,0.023500774,0.7725661,1.7903085,72.43396
NDAR_INVJR8B2Z56,-0.052508842,0.5982281,0.80682194,0.88709307,0.022473333,0.7193815,1.6859136,26.141651
NDAR_INV3TG667EC,-0.0077243634,0.42292416,0.82644963,0.8665869,0.029352859,0.727332,1.7514278,19.214722
NDAR_INV230CTHZE,4.1803493,0.7523588,0.8773571,0.8608314,0.030759547,0.6441547,1.7473444,37.084896
NDAR_INVWX4KD0B0,3.4076335,0.80272686,0.862244,0.9037789,0.014856904,0.61293143,1.85118,62.616253
NDAR_INVVLP88ED7,4.956074,0.84312135,0.86663103,0.82742757,0.023352047,0.6840413,1.8034507,66.629074
NDAR_INVP64DNDHT,0.94744635,0.13150623,0.9411626,0.9027291,0.019842476,0.6880137,1.6023488,55.68132
NDAR_INVHNT0B9EC,0.03839446,0.8432517,0.7952622,0.799754,0.024275433,0.79034775,1.7644186,39.964424
