subject_id,cost_go_error,cost_go_missing,cost_stop_error,cost_time,inv_temp,q_d,q_d_n,q_s,q_s_n,rate_stop_trial
INV0UWD26VV,1.0,1.0,1.7958569607180035,0.001,77.09822139930725,0.6871736397147179,0.5613637485275976,0.765306864619255,0.0505148999458579,0.1666666666666666
INV0V80916L,1.0,1.0,1.4416790840369835,0.001,43.98140481472015,0.6943806049525738,0.8258986563384533,0.6901137143373489,0.0555342916943773,0.1666666666666666
INV0V9W14U5,1.0,1.0,1.1623568937941495,0.001,62.83318629074097,0.6515854912400245,0.5965925676077605,0.8588831568956375,0.0599428052744078,0.1666666666666666
INV0VBJ9TP2,1.0,1.0,1.480680707558899,0.001,27.0453543548584,0.8370836434662342,0.9142054238021374,0.7432774023115635,0.0326552459409649,0.1666666666666666
INV0VJZ6NZY,1.0,1.0,1.3254176779349085,0.001,87.50146131134034,0.6332268953919411,0.169354637022905,0.73608986094594,0.0990344673330691,0.1666666666666666
INV0VVG7LYB,1.0,1.0,1.3300105706094454,0.001,55.62257160282135,0.8548625666797162,0.8678695902749896,0.7806094714701176,0.0633914526788667,0.1666666666666666
INV0WAF57A4,1.0,1.0,1.8013557565974516,0.001,56.226840646743774,0.8493762836754322,0.6824228811468929,0.8579043355584145,0.0298436688597212,0.1666666666666666
INV0WC5U4JA,1.0,1.0,1.6999790767406788,0.001,80.59590147590637,0.7486022055149079,0.7467359262797981,0.8188152812421322,0.0521316908103017,0.1666666666666666
INV0WTM31V7,1.0,1.0,1.7223420652524546,0.001,65.4755197429657,0.8424822167158127,0.8894317696988583,0.6439235953092575,0.042375197335371,0.1666666666666666
INV0WYCV590,1.0,1.0,0.831819587421919,0.001,84.73507005882263,0.8281322884857655,0.9220332975685596,0.7312514224350453,0.027788198081175,0.1666666666666666
INV0X45NBYM,1.0,1.0,1.4299850132565326,0.001,49.08641156482697,0.8369112387001515,0.8856619684696198,0.6994428913295269,0.0464089270775548,0.1666666666666666
INV0X4A2LKW,1.0,1.0,1.5780173677992644,0.001,78.51674861717224,0.8552622421979904,0.8279467133879661,0.8573788635134697,0.0656398104789077,0.1666666666666666
INV0XFVW4LF,1.0,1.0,1.796925332502867,0.001,61.23608734893799,0.8082266485989094,0.617937994341366,0.7004724816679955,0.0428009689654866,0.1666666666666666
