q_d_n,q_d,q_s_n,q_s,tau,inv_temp,cost_stop_error,cost_time,cost_go_error,cost_go_missing
0.08255035,0.70873576,0.124333024,0.91279304,7.5467257,65.23158,1.5665644,0.02624456,1.7166075,0.07446433
0.38279742,0.7444371,0.071896195,0.9943942,8.411029,34.98291,1.4922929,0.014598373,0.79350525,0.017125195
0.06536764,0.7224732,0.030106068,0.99555326,7.666033,35.5833,0.744908,0.005902329,0.77218837,0.17127156
-0.0023553967,0.6873971,-0.0040581226,0.78657746,7.568008,82.39516,1.6196539,0.019959576,1.0969725,0.08522164
0.26799464,0.7401296,0.055369258,0.9564018,7.77402,81.92359,1.1911141,0.00999445,0.4228758,0.03678624
0.48389965,0.74813867,0.021176815,0.9075422,7.7473683,83.81042,1.8191279,0.020948598,1.0314276,0.48530453
0.1760062,0.7096535,0.075008035,0.74682367,8.327287,66.33463,1.9516653,0.027517827,1.306334,0.21780197
0.008068323,0.67534006,0.11962068,0.99076855,7.7441263,68.18602,0.8289117,0.008856978,0.6715052,0.02420064
0.41391048,0.7379583,0.04770243,0.91605395,8.035667,101.021904,0.8720412,0.011457955,0.7900888,0.06815898
0.13766444,0.7028451,0.13082683,0.85082227,7.4415812,93.84665,1.7133659,0.018493598,0.9706308,0.1358443
0.3306507,0.73520315,0.0111608505,0.9439976,7.308175,54.975517,2.4185016,0.028622089,1.4425923,0.021925911
0.025240004,0.6988744,0.08253956,0.9822184,8.255691,66.354126,0.61414045,0.006613316,0.48309225,0.020192157
0.03836131,0.70282376,0.05444801,0.774174,8.201473,71.55295,0.54932433,0.0037202425,0.3486718,0.02715745
-0.0023622513,0.6774626,0.033989787,0.88630563,7.1593013,78.49704,0.70951605,0.009644468,0.75537467,0.048719727
0.0008006096,0.6854129,0.02038455,0.69980675,7.9621377,77.491234,1.551083,0.021672744,1.265578,0.061557997
0.26206136,0.72928834,0.030439496,0.9826991,7.686146,62.188126,1.5784423,0.018465567,1.3505312,0.009863228
0.20095181,0.79688907,0.15412048,0.8768318,7.3095493,58.941235,1.9900153,0.016053258,0.8876508,0.013731229
0.4678966,0.7583557,0.080675006,0.8563863,7.7527885,36.306995,2.1503513,0.02392511,1.6402962,0.06350783
0.2213949,0.7470802,0.024039507,0.9893625,8.463268,54.860004,2.3867,0.029410642,1.3302114,0.1300133
0.26597762,0.7286393,0.057382584,0.8663508,7.778616,52.661434,1.6801968,0.034389105,1.9073836,0.06365034
-0.01434201,0.68297195,0.09557128,1.0052269,7.8103423,45.03111,0.9657275,0.014072044,0.9103241,0.016302831
0.020099103,0.6904075,0.11339772,0.8821849,8.524949,50.60309,0.7941162,0.008522537,0.5248358,0.10196707
0.019755185,0.72121817,0.04423642,0.99325466,7.722917,76.89975,1.6106269,0.018973045,1.305913,0.011827591
0.6022894,0.84050596,0.0687691,0.77797747,8.080073,89.59943,1.3699328,0.017312692,1.1227306,0.21648133
-0.0057889223,0.6925044,0.029119372,0.9507037,8.2434025,85.94764,0.23210025,0.0026377726,0.32612965,0.023612285
0.057443857,0.6915178,0.099502325,0.8433779,7.8875184,77.13523,1.2863352,0.021192966,1.3152276,0.02213462
-0.013394177,0.68041813,0.18277377,0.8468137,7.4999876,89.07197,0.6857752,0.006096415,0.31041777,0.011732795
0.09794396,0.7179915,0.06247115,0.86712563,7.359497,77.95342,0.7485337,0.006801309,0.5678552,0.75662446
0.3652946,0.74656945,0.062263608,0.93645215,7.3745947,75.74624,1.2948472,0.016766919,1.0543648,0.039990943
0.6157993,0.77243316,0.08772409,0.8700408,7.713296,72.59644,0.99598974,0.011146064,0.58198214,0.09667437
0.24923289,0.7429593,0.08444786,0.9316721,7.3974857,70.625046,1.4547687,0.01665055,1.1714811,0.027292604
0.35859832,0.75473213,0.053343892,0.9328401,8.694965,68.058876,1.591764,0.017057722,0.61502665,0.023953466
0.12782443,0.739331,0.108107805,0.919185,1.6689715,75.69887,1.1081502,0.006449912,0.19781654,0.54502547
0.32709408,0.7397801,0.12737429,0.98911726,7.4917192,50.044994,1.2832487,0.012285174,0.68659127,0.22271723
0.10312861,0.7282018,0.1428676,0.86730045,7.09863,97.76132,1.4910922,0.014470193,0.76698583,0.20251752
-0.02407074,0.71360654,0.28994006,0.85179865,8.029843,39.197445,1.8401755,0.018498817,0.9882789,0.061406396
