case,gt_q_d_n,mu_q_d_n,hit90_q_d_n,gt_q_d,mu_q_d,hit90_q_d,gt_q_s_n,mu_q_s_n,hit90_q_s_n,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_inv_temp,mu_inv_temp,hit90_inv_temp,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_time,mu_cost_time,hit90_cost_time,gt_cost_go_error,mu_cost_go_error,hit90_cost_go_error,gt_cost_go_missing,mu_cost_go_missing,hit90_cost_go_missing
48,0.04589689043166956,0.088377334,1.0,0.9206052597854176,0.91772765,1.0,0.11760106824849914,0.29143396,1.0,0.7893382620102991,0.83395797,1.0,7.321241396295689,7.3600345,1.0,98.36557438907921,70.53378,1.0,0.4845545856156457,0.9808959,1.0,0.011206897597185995,0.022617478,0.0,0.062278825255945296,0.16490427,1.0,0.9060413129702225,0.47434253,1.0
49,0.2878060227379454,0.4144007,1.0,0.6149685130992122,0.80122435,1.0,0.8895436510335296,0.4806384,1.0,0.9014132070176382,0.74900573,1.0,14.680529075893489,14.675542,1.0,43.03263782006539,37.745834,1.0,0.14160900395355505,0.3397162,1.0,0.018900051167928193,0.018456032,1.0,0.259287636024587,0.10201183,1.0,0.5787084042143004,0.443896,1.0
50,0.8398719697495798,0.50238776,1.0,0.7996961515794412,0.7526089,1.0,0.10382158519878948,0.50009304,1.0,0.8925198259025782,0.73139113,1.0,13.94167458155103,13.925245,1.0,76.74452727907877,70.00531,1.0,0.06254178614489335,0.1482214,1.0,0.03847145478179364,0.029679976,1.0,0.5251203402993518,0.13721915,0.0,0.27128015226950786,0.36672264,1.0
51,0.8357455950039067,0.8229879,1.0,0.6877516265553676,0.7627185,1.0,0.7478085139402271,0.47980225,1.0,0.9753716489323094,0.77147865,1.0,4.772885051671649,4.7667413,1.0,53.08464705405947,34.05992,1.0,0.02234320364200516,0.073233135,1.0,0.00394351640918551,0.0032975103,1.0,0.5143830626861349,0.53951776,1.0,0.2234962366092504,0.52112526,1.0
52,0.3926538502614344,0.3075968,1.0,0.7769954011750027,0.781655,1.0,0.10626258988634874,0.50692976,1.0,0.5305539967740086,0.7128147,1.0,10.365487659610698,10.353122,1.0,31.42213417365133,32.213654,1.0,0.1194302066639769,0.10741928,1.0,0.006020951830945264,20.56999,1.0,0.3825689538350944,0.4370544,1.0,0.2114358820127107,0.33300278,1.0
53,0.6190019667330988,0.5798249,1.0,0.6689094226192008,0.66751313,1.0,0.4443908511404041,0.5502075,1.0,0.520396407474524,0.65586746,1.0,15.209433306194878,14.533495,1.0,61.754488231207034,54.69578,1.0,0.04946635672005211,0.18948375,1.0,0.00010529564828240179,0.0007527635,0.0,0.476342339044053,0.80342805,1.0,1.428111746108377,0.9882913,1.0
54,0.9271767643602902,0.60294867,1.0,0.6906214755349038,0.7087244,1.0,0.7855914120998475,0.70473766,1.0,0.9741431420377438,0.93421215,1.0,14.204687876993457,14.200779,1.0,96.02897026526944,34.10151,0.0,0.08902926220536855,0.3277735,1.0,0.0005027359184971294,0.0013999596,1.0,0.03481468692771743,0.09708948,1.0,0.530070854738491,0.47015706,1.0
55,0.448386117814941,0.5757883,1.0,0.5141787836703585,0.6688446,1.0,0.40216230704567735,0.52004504,1.0,0.7906386783650812,0.73329836,1.0,7.1324098765352595,7.1336007,1.0,74.98132235834305,31.700964,1.0,0.02084937778760125,0.34713525,1.0,0.0058493789915383424,0.01798317,1.0,0.024265590277032855,0.09769928,1.0,0.7818444710013785,0.40169784,1.0
56,0.5709778994666845,0.5824087,1.0,0.6279833905696377,0.6941254,1.0,0.9890279917696673,0.6225227,0.0,0.9105206725774295,0.5910664,0.0,15.81388024551487,15.865398,1.0,50.3658205300852,28.962675,1.0,0.31780817107785725,0.78998214,1.0,0.00010551240317504136,0.00060704624,0.0,0.031845418975567384,0.09669426,1.0,0.28031525246381933,0.4138359,1.0
57,0.023637982408115543,0.55838233,0.0,0.6991681404266792,0.70942163,1.0,0.2961329564345583,0.5093237,1.0,0.744959843573014,0.7325331,1.0,11.918005501228523,11.902563,1.0,21.086072914964404,27.76598,1.0,0.024279579790365553,0.08131047,1.0,0.004207115157099459,0.0018733385,1.0,0.06008889664575359,0.09615386,1.0,1.6351739958360358,0.43105397,0.0
