case,gt_q_d_n,mu_q_d_n,hit90_q_d_n,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_inv_temp,mu_inv_temp,hit90_inv_temp,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_time,mu_cost_time,hit90_cost_time,gt_cost_go_error,mu_cost_go_error,hit90_cost_go_error
11,0.16411253433810402,0.35262468,1.0,0.9091069802616829,0.808761,1.0,0.9326259844758034,0.72694945,1.0,13.449634078895985,28.191603,1.0,0.03789477049942431,0.10507988,1.0,0.0001311881427839118,0.0053864927,0.0,0.01748887216037727,0.08403784,1.0
12,0.33714569690924434,0.49170774,1.0,0.7771028682310748,0.7460061,1.0,0.9691671779730344,0.72827345,0.0,32.64298235733321,24.615421,1.0,0.02137708989304749,0.08134745,1.0,0.0004344785465990691,0.005835136,1.0,0.012065003542719806,0.0892213,1.0
13,0.03245678002768748,0.06693055,1.0,0.6393602580926314,0.62599224,1.0,0.5997545978499343,0.6073573,1.0,35.00703629687023,41.195,1.0,0.11390047715553288,0.36816445,1.0,0.00133173129179464,0.0031922178,1.0,0.47881255670705153,0.64878047,1.0
14,0.11892919930262513,0.40347272,1.0,0.9664111379291598,0.8165852,1.0,0.7511726744083067,0.7256585,1.0,13.55959475164298,33.29431,1.0,0.5204147320230409,0.3336961,1.0,0.014779091687508494,0.014691328,1.0,0.04110127394563355,0.11996802,1.0
15,0.0982598243918148,0.41530907,1.0,0.7068382909063512,0.82850665,1.0,0.5891468975955144,0.7390347,1.0,66.54559565998856,40.035442,1.0,0.03466766667513133,0.20030347,1.0,0.003932366721902657,0.017890662,1.0,0.11815016986934118,0.3900847,1.0
16,0.731441030945303,0.57352954,1.0,0.6372559238544928,0.70510757,1.0,0.6983014440380395,0.73714,1.0,60.89220483985911,65.92559,1.0,1.3870506770501303,1.5003418,1.0,0.0003475741546752092,0.00040091932,1.0,0.21768960972109422,0.10475791,1.0
17,0.8353567642127433,0.4812022,1.0,0.7131357774687996,0.77570796,1.0,0.7804097573506041,0.8561434,1.0,31.49975257185093,59.34823,0.0,1.9439887060497323,1.3992057,1.0,0.00011149946097824827,0.00033955558,0.0,0.09570004999940224,0.033855915,1.0
18,0.7895256320808437,0.4773546,1.0,0.767074810243914,0.7009303,1.0,0.9007458751549113,0.7224065,1.0,19.053965030630042,30.779417,1.0,0.17133313131045683,0.078392245,1.0,0.002590316285281139,0.0041678245,1.0,0.25140711900569035,0.3804291,1.0
19,0.648272878290145,0.4960825,1.0,0.7856029376914928,0.69702333,1.0,0.666612784056196,0.67869586,1.0,19.51652472962694,50.197407,0.0,1.3416062234776922,1.3061206,1.0,0.0034610830632128345,0.007787226,1.0,0.019770831748846966,0.060781233,1.0
20,0.6129017948403236,0.28461942,1.0,0.7621345736252552,0.8678455,1.0,0.5609720019457684,0.71165943,1.0,12.348179072909414,31.849852,1.0,0.04935737059301703,0.0873272,1.0,0.03673165027171413,0.00915598,0.0,0.5207757413221216,0.16315709,1.0
21,0.4559900175058025,0.34160736,1.0,0.5978783082619965,0.5955877,1.0,0.8303310422524203,0.8420308,1.0,65.98176195090444,45.494797,1.0,0.8344950230634015,0.83249396,1.0,0.0022019638712784118,0.0009580219,1.0,0.7023243553584884,1.1284001,1.0
22,0.47669452923421873,0.32015297,1.0,0.9474188685564175,0.92000437,1.0,0.9239066316104019,0.908537,1.0,47.23863118749059,62.114353,1.0,0.48093513646568187,0.5511961,1.0,0.00010911236911707876,0.00045949096,1.0,1.573284267182839,1.3256875,1.0
23,0.7905769434519851,0.5997798,1.0,0.5636071713669459,0.6489085,1.0,0.8323538220114945,0.80615073,1.0,11.207907885543003,28.265926,1.0,0.5500031721511055,0.5913403,1.0,0.005515671960856174,0.0083832685,1.0,0.015244056222379,0.093380235,1.0
24,0.9104089872055786,0.85035664,0.0,0.8221764004943842,0.75770026,1.0,0.6363475583656085,0.7401524,1.0,21.077075290519332,47.664497,1.0,0.03909845858116167,0.058936212,1.0,0.000279052444681351,0.0019426864,1.0,1.5372226589284343,1.1755099,1.0
