case,gt_q_d_n,mu_q_d_n,hit90_q_d_n,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_cost_go_missing,mu_cost_go_missing,hit90_cost_go_missing,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_time,mu_cost_time,hit90_cost_time
68,0.11965622217649508,0.12574491,1.0,0.8056287421762606,0.7927044,1.0,0.6589777651397875,0.6557254,1.0,8,8.090888,1.0,0.048093413165899705,0.7656152,1.0,0.030642636359908507,0.0680071,1.0,0.000277419097047441,0.000914514,1.0
69,0.18417722322331842,0.2876825,1.0,0.6301068672618197,0.6409444,1.0,0.9270256061341369,0.95464003,1.0,5,4.419076,1.0,0.5537786537695029,104527784.0,0.0,1.3490143959153613,2.6632354,1.0,0.0009641363271393853,0.0051527214,1.0
70,0.8043712011849458,0.69736546,1.0,0.5637051510562601,0.58141834,1.0,0.8948205338490274,0.73561233,1.0,6,6.1884794,1.0,0.11449453763461552,1.8778505,1.0,0.010149077999386961,0.18773764,0.0,0.023747907500151814,0.017926276,1.0
71,0.09240771794828417,0.27791333,1.0,0.6093501751457933,0.6203355,1.0,0.8542167177385154,0.76254904,1.0,13,11.256602,0.0,0.010698326297040634,0.0720479,0.0,0.3308162421650072,0.80443126,1.0,0.0012266172183516325,0.001715667,1.0
72,0.11318458393678854,0.09175931,1.0,0.755225678296759,0.7578927,1.0,0.9831173429581992,0.9124689,1.0,7,7.2792115,1.0,0.4751190593833145,0.7072489,1.0,1.1800619972629187,0.4511513,0.0,0.011030877199427363,0.004217422,1.0
73,0.8704717664881025,0.7818268,1.0,0.6049457285535396,0.5830339,1.0,0.796672150131982,0.8621175,1.0,8,7.2112427,1.0,6.548843402757422,3.3123868,1.0,0.2702069792359135,0.31185016,1.0,0.0001847019919090226,0.00025163984,1.0
74,0.43470223737777947,0.20147952,1.0,0.9343881316596327,0.94769377,1.0,0.7581386980322413,0.75698245,1.0,13,13.285094,1.0,0.06152582448280485,0.59420913,1.0,0.21388112724240269,0.29504672,1.0,0.0006900423963953593,0.0011035997,1.0
75,0.021240377342929162,0.4732909,0.0,0.8159159879444087,0.8779304,1.0,0.7260591969250254,0.7539875,1.0,15,11.602822,0.0,0.1550343851058007,1.3391925,1.0,2.0786920883326965,3.3850205,1.0,0.007296287431688769,0.012161852,1.0
76,0.2606549099412514,0.34969375,1.0,0.8203618858841933,0.8626542,1.0,0.9550852165382175,0.9488259,1.0,13,12.630528,1.0,1.0238533707833706,1.4839162,1.0,0.7581016867261624,1.002001,1.0,0.0009049093860251458,0.002267664,1.0
77,0.7647992157725397,0.6162197,1.0,0.7837573130639907,0.73977876,1.0,0.8000518228759637,0.7429121,1.0,10,9.511592,1.0,0.1188758030628503,0.15429291,1.0,0.0107966106777195,0.050971437,0.0,0.0027771944506313653,0.0020329845,1.0
78,0.22981841722282315,0.48450837,1.0,0.7075156548964294,0.77334523,1.0,0.9566038597452812,0.9534582,1.0,11,11.425112,1.0,0.17441607224204952,1.6602811,1.0,0.056597547789591786,0.031167239,1.0,0.0021051533838607568,0.0019383752,1.0
79,0.22671182444371518,0.14386374,1.0,0.7205334217821504,0.69435257,1.0,0.6092248468123653,0.6760707,1.0,11,11.174466,1.0,2.833198613721637,0.83848345,1.0,0.37020689627800196,0.14009716,1.0,0.02400563156883995,0.021445403,1.0
80,0.9837256839003602,0.8933213,0.0,0.9679376016872998,0.7976502,0.0,0.7789569943872494,0.8189694,1.0,8,6.951938,0.0,0.04826803199665396,0.055983674,1.0,0.8828419057023524,0.9406739,1.0,0.00015537725408195749,0.0009328795,1.0
81,0.8687747354524004,0.67235047,0.0,0.9604617978198776,0.84615403,0.0,0.6946390779489204,0.7131102,1.0,15,14.320545,1.0,0.6451146300843844,0.20462291,1.0,0.054994963091345064,0.06643866,1.0,0.00040967659740971657,0.00071804714,1.0
82,0.33192983136388576,0.24574707,1.0,0.7957393049298662,0.78739685,1.0,0.6556138468089725,0.6893656,1.0,6,5.9326425,1.0,6.508058226981314,2.1196783,1.0,0.03708262938346155,0.10244928,1.0,0.014032793671433235,0.011171692,1.0
83,0.02989159846275391,0.6573814,0.0,0.5053672490769656,0.5425306,0.0,0.703127723348568,0.7961208,1.0,15,15.010455,1.0,1.149580764173096,1.7294731,1.0,0.4911082955907917,0.27708837,1.0,0.00011594315976459984,0.00036428223,1.0
84,0.5608305300937654,0.5165896,1.0,0.5434509539775043,0.55134606,1.0,0.7280183520120593,0.6158527,1.0,9,6.873837,0.0,0.2384214020214497,0.22888061,1.0,0.11382362739586545,0.1781402,1.0,0.00015942710587274294,0.00030106222,1.0
85,0.800285951528842,0.5425816,1.0,0.7898206260845251,0.7108052,1.0,0.6993854321681806,0.8441073,1.0,11,10.479705,1.0,0.46013601916002794,2.1591125,1.0,0.012247419646024922,0.026259996,1.0,0.0004562574659428633,0.00045368297,1.0
86,0.6043187659284492,0.43246233,1.0,0.7788992409904874,0.7656663,1.0,0.7301657327456834,0.7532311,1.0,12,11.376517,1.0,4.72638024917733,6.003797,1.0,5.14773021546172,6.7390676,0.0,0.00017751491658616337,0.0016347157,1.0
