case,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_go_error,mu_cost_go_error,hit90_cost_go_error
90,0.9875799299089992,0.92705065,1.0,0.5104144694153143,0.52475226,1.0,12,12.3610525,1.0,7.961075706471996,8.3043785,1.0,9.006918336961647,3.6818657,0.0
91,0.9003868951213985,0.8251653,1.0,0.8458097544720007,0.8271976,1.0,6,5.720707,1.0,15.49451634490538,18.62156,1.0,21.768764160963176,16.338673,1.0
92,0.5298500326075593,0.53582007,1.0,0.971524965628531,0.7462979,0.0,8,6.2435937,0.0,4.746600937737624,6.046259,1.0,3.334265218989923,3.5393696,1.0
93,0.816782510873882,0.88510656,1.0,0.7554847079881885,0.77604854,1.0,16,15.125768,1.0,5.461234141682095,6.866346,0.0,4.43167717667214,1.8804431,0.0
94,0.6144284160155394,0.5947108,1.0,0.5157046407502316,0.78652126,1.0,14,10.002469,1.0,40.32161606730143,23.686686,1.0,4.567563896693702,17.416502,1.0
95,0.7195276541713713,0.7781222,1.0,0.9708082233779757,0.8859714,1.0,14,13.875611,1.0,15.348152947388032,14.967201,1.0,25.172221806650597,22.212307,1.0
96,0.9472513602667638,0.97988844,1.0,0.8512756373393519,0.82516426,1.0,7,8.140604,1.0,1.1986481248717746,1.2577146,1.0,39.03350925999398,36.461773,1.0
97,0.9679411070390673,0.9378813,1.0,0.9321122109369151,0.7864487,1.0,13,10.484387,1.0,2.992630781581204,3.2422388,1.0,40.33604338181422,43.40347,1.0
98,0.5158804546145039,0.5915999,1.0,0.7609756036154199,0.7888009,1.0,15,9.709743,1.0,26.073599202019032,24.23836,1.0,24.764838528339027,17.206879,1.0
99,0.6940855888864628,0.60119724,1.0,0.5105700127109717,0.78628993,0.0,12,9.971879,1.0,32.37110382660744,25.121878,1.0,2.8643894426278775,16.663725,1.0
100,0.5998482725921555,0.6036636,1.0,0.9423743599803672,0.7642373,1.0,5,4.7416806,1.0,1.3243738158416531,3.3309703,0.0,11.600985066314427,14.035971,1.0
101,0.8926279853494846,0.8882755,1.0,0.7024385307680412,0.7897325,1.0,14,14.561035,1.0,3.623732522231653,4.3926,0.0,3.5636132882229123,1.8824984,0.0
102,0.8342419683837379,0.7900774,1.0,0.9557475879234646,0.8806078,1.0,13,12.138016,1.0,16.07370476887158,17.591316,1.0,18.531549836537522,17.317635,1.0
103,0.7090627656506246,0.7224367,1.0,0.6347879487153143,0.7478252,1.0,10,9.32978,1.0,2.418621199969833,2.9826913,1.0,29.670308179140807,33.74085,1.0
104,0.6191295586201174,0.77143645,0.0,0.8329924077201362,0.8207672,1.0,9,7.9898887,1.0,9.424542027772079,11.532595,0.0,2.775126515715944,5.6720066,1.0
105,0.868379142073211,0.8370714,1.0,0.7742258248612569,0.7135074,0.0,15,15.065788,1.0,18.27421844094188,25.40029,0.0,8.740524421972147,4.140557,1.0
106,0.6394610629632905,0.6751532,1.0,0.525170126339992,0.68296605,1.0,6,4.67018,0.0,9.950191505840573,10.933621,1.0,10.211383438968157,7.8009686,1.0
107,0.7705675035041595,0.89507437,1.0,0.9318384436573308,0.85248476,0.0,11,10.963698,1.0,7.434858912343307,8.895514,0.0,4.084748443956738,2.9946542,1.0
108,0.8294732628622475,0.9098613,1.0,0.5217117527241888,0.52594763,1.0,13,12.276194,1.0,7.182800559437445,8.389577,1.0,1.1454523566864387,1.9494427,1.0
109,0.8700614140236871,0.84413254,1.0,0.7190550161248339,0.7157742,1.0,9,9.749266,1.0,19.534319599208565,21.267467,1.0,2.123823312928795,1.9859723,1.0
110,0.8075355977299494,0.86520475,1.0,0.6586679745816371,0.66705436,1.0,6,5.8477,1.0,7.640141838094552,9.090101,0.0,2.6261282523040714,1.6952647,1.0
111,0.8185287817251313,0.6578623,1.0,0.9663807511259187,0.80443543,0.0,9,5.4912567,0.0,33.612256177249144,28.818594,1.0,28.876385971028924,12.701998,1.0
112,0.9521330640655454,0.9118421,1.0,0.6749428929769489,0.70927197,1.0,11,11.260672,1.0,1.3017527354349656,1.2991248,1.0,5.870594497268717,4.6445723,1.0
113,0.9024692712741376,0.83187246,1.0,0.596074609994313,0.7151726,0.0,15,15.129217,1.0,25.816607610125835,21.624699,1.0,1.3640188300126868,5.890874,1.0
114,0.9502729570385946,0.89067066,1.0,0.7549716122386667,0.7119949,1.0,12,11.148699,1.0,2.3740796193723273,2.6547883,1.0,22.717432311676767,37.96434,0.0
115,0.5035028279139553,0.5320711,1.0,0.751363527255882,0.7514607,1.0,6,5.895298,1.0,1.2557472044138518,1.364217,1.0,1.30010425667986,1.6381382,1.0
116,0.9925960536231782,0.9912206,1.0,0.5646506328428805,0.63107985,1.0,4,5.248502,0.0,1.0539926923269942,1.2876987,1.0,25.537425231630916,18.92048,0.0
117,0.7347842268871498,0.8357551,1.0,0.9416417781633952,0.75752676,1.0,10,8.632016,0.0,1.9582239714929086,3.4852362,0.0,49.213836917987486,36.883682,1.0
118,0.6145945292570085,0.65099,1.0,0.9492612004618746,0.7922205,1.0,15,14.371046,1.0,3.7050374218447892,6.120169,1.0,14.270081780738069,21.772858,1.0
119,0.5285288390746383,0.5403661,1.0,0.8700800007562741,0.73417675,1.0,11,8.044613,0.0,1.4910186486049624,3.551979,1.0,4.6696038920585305,6.194879,1.0
120,0.67654485886868,0.7831065,1.0,0.7584272929567363,0.7169962,1.0,5,5.661804,1.0,21.671569482388584,26.011902,0.0,3.901005725770547,2.1285863,1.0
121,0.5931855139738613,0.6164116,1.0,0.776874272833944,0.81223017,1.0,14,14.163719,1.0,6.306891474618292,7.787134,1.0,6.3041179709879795,9.173381,1.0
122,0.9167972673014393,0.8814105,1.0,0.945849662021853,0.79341453,0.0,13,13.87107,1.0,8.844104152713038,9.877546,1.0,1.8248457830852305,5.994615,1.0
123,0.9195664702054904,0.81879103,1.0,0.9583832760693716,0.7869033,1.0,12,10.688061,0.0,11.536351256099486,13.132091,1.0,30.93948487769612,28.458076,1.0
124,0.9684453020348296,0.5961462,0.0,0.8677345355551107,0.79362917,1.0,16,9.887796,0.0,43.42369397950285,24.457748,1.0,5.592551839299833,17.004055,1.0
