case,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_inv_temp,mu_inv_temp,hit90_inv_temp,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_time,mu_cost_time,hit90_cost_time
117,0.6485851627319741,0.6484961,1.0,0.7737638298202184,0.74032325,1.0,15,15.183786,1.0,26.941567187459892,54.383286,1.0,1.9199994859454932,2.0833008,1.0,0.049444280433147816,0.0542654,1.0
118,0.5052981192707047,0.5142939,1.0,0.9913090271898142,0.8780753,1.0,15,15.024407,1.0,12.258109072987546,47.360634,1.0,1.117230311855114,1.7532675,0.0,0.027443109956370924,0.039477494,1.0
119,0.6634942549012556,0.6694046,1.0,0.6802573804101202,0.58370036,0.0,8,7.231872,1.0,16.90095373997152,44.904957,0.0,1.1553531114717293,1.6339715,1.0,0.014795640383654463,0.018234948,1.0
120,0.6057111829031847,0.6206347,1.0,0.670483311641701,0.64894336,1.0,9,8.545188,1.0,38.73140608004774,25.275461,1.0,35.336715900618636,27.725168,1.0,0.08086985650042018,0.030915653,1.0
121,0.5469947325141622,0.5339153,0.0,0.7234261609621371,0.7603399,1.0,10,12.340844,0.0,20.357355613155896,44.866478,1.0,13.210238479506968,9.173364,1.0,0.07179360161123162,0.059778627,1.0
122,0.6303409563148805,0.807005,1.0,0.5144861788801052,0.8188297,0.0,10,9.27163,1.0,62.63258288476953,29.598682,1.0,19.571759299265626,31.51271,1.0,0.019690105320668266,0.053991165,1.0
123,0.7445507717738333,0.7244305,1.0,0.9870830972366834,0.85702413,1.0,15,10.565639,1.0,73.12460254323284,68.78392,1.0,19.457650394881675,33.086227,1.0,0.010030474748550072,0.049120784,0.0
124,0.5748008273088832,0.5739592,1.0,0.7757401419198786,0.7908182,1.0,7,5.8873367,0.0,22.444703851098563,32.073223,1.0,1.8459264306513221,2.9108393,0.0,0.017943793307149337,0.022889916,1.0
125,0.9303728465702246,0.73012084,1.0,0.9117657697545398,0.8635384,1.0,5,10.500943,1.0,75.78584199290047,67.82174,1.0,19.632148558667733,32.39181,1.0,0.026544360135729347,0.050100487,1.0
126,0.8607793116931086,0.83093655,0.0,0.5613520933941774,0.5429159,1.0,10,10.112045,1.0,95.60558925610218,77.16352,1.0,1.1976937005253825,1.9094197,1.0,0.019554185401997583,0.025144814,1.0
127,0.5605717833254122,0.5745322,1.0,0.6137702271550156,0.6815703,1.0,7,6.694017,1.0,33.125888308686996,30.363855,1.0,45.57861817489941,35.271732,1.0,0.06828799906031355,0.03348911,1.0
