case,gt_tau,mu_tau,hit90_tau,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_go_error,mu_cost_go_error,hit90_cost_go_error,gt_cost_go_missing,mu_cost_go_missing,hit90_cost_go_missing,gt_cost_time,mu_cost_time,hit90_cost_time
63,16,15.706485,1.0,20.302091302039415,22.60971,1.0,27.543608969469236,33.917908,1.0,29.49684741528005,13.218246,1.0,0.36164431284728293,0.42664668,1.0
64,4,4.230921,1.0,17.392003609563275,15.406092,1.0,2.846288540947084,5.481049,0.0,1.5627232628052443,3.4143293,1.0,0.10515263990975965,0.09132297,1.0
65,13,12.909139,1.0,1.4183392284299992,2.812789,1.0,14.348876751104694,27.926243,0.0,1.4337039505823925,13.131714,1.0,0.12363103370685408,0.21923406,0.0
66,6,6.0214047,1.0,2.569659552548594,3.7104564,1.0,1.1638580368419176,1.7743902,1.0,4.924884294486186,12.424594,1.0,0.05571056857982738,0.0815519,1.0
67,14,13.946278,1.0,8.659841898991665,17.327852,0.0,11.250421290424091,13.860111,1.0,2.4112088737576207,12.464272,1.0,0.16584551836501854,0.2998293,0.0
68,8,6.6008067,0.0,10.120552060183702,10.063916,1.0,2.1601564749908193,1.9823365,1.0,10.18049342960099,30.63761,1.0,0.04207379965981771,0.041643955,1.0
69,12,11.961211,1.0,19.25488768320455,18.696644,1.0,38.3073612398227,34.419117,1.0,5.619335497283791,5.6302376,1.0,0.3112601889294725,0.2842885,1.0
70,15,14.611371,1.0,1.4212514503025429,1.7265716,1.0,48.30994665347055,47.47614,1.0,1.3691966579175516,1.6273845,1.0,0.10082116041104543,0.090965845,1.0
71,15,15.111707,1.0,21.654756285744448,23.427689,1.0,1.6094953208299339,1.5281465,1.0,39.78972379025225,16.47449,1.0,0.24156759127146152,0.2664424,1.0
72,15,15.063139,1.0,3.2284481043270747,2.2230763,1.0,7.005026111189452,3.3616738,1.0,2.078182147755661,13.748166,1.0,0.3615265937057606,0.23115067,1.0
73,8,7.910707,1.0,8.847071293880052,13.4047,1.0,15.132979436075567,19.8441,1.0,9.233890853256645,12.781028,1.0,0.17516564102212417,0.26323387,1.0
74,7,6.1996007,0.0,11.145163332135443,9.947218,1.0,1.0141407604083066,2.0263247,0.0,39.51458268794755,16.955408,1.0,0.04011668437233299,0.031231422,1.0
