case,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_inv_temp,mu_inv_temp,hit90_inv_temp,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_go_error,mu_cost_go_error,hit90_cost_go_error,gt_cost_go_missing,mu_cost_go_missing,hit90_cost_go_missing,gt_cost_time,mu_cost_time,hit90_cost_time
113,0.7599440202612534,0.84186924,1.0,0.6840534774505111,0.7752898,0.0,14,11.456252,0.0,40.92957314490928,46.104515,1.0,9.299569303672936,15.787502,1.0,6.506634931885711,4.580213,1.0,3.827522838044076,21.581774,1.0,0.019910351493498065,0.049769927,1.0
114,0.7175277440839624,0.7146875,1.0,0.5677753280769429,0.54669803,1.0,8,8.164125,1.0,62.38725061502411,67.54107,1.0,1.3696043699867868,5.505662,1.0,13.817761660048987,22.095455,1.0,14.48422341080337,25.826214,1.0,0.2280665706148905,0.2957354,1.0
115,0.5006527838658349,0.52992666,0.0,0.8561182106320326,0.89537793,1.0,4,4.8887653,0.0,14.681726224141414,46.800446,1.0,9.818475956828722,8.892014,1.0,18.707357492347665,11.713939,1.0,13.914796474562921,15.352521,1.0,0.05579103891693424,0.12861407,1.0
116,0.885998626915623,0.8720888,1.0,0.6705496882528108,0.6415447,1.0,6,6.3858,1.0,19.602636193265884,60.01495,1.0,3.228084217085524,3.9539194,1.0,12.411714025259291,16.265436,1.0,5.603787550805972,20.426016,1.0,0.17121036273533807,0.24173485,1.0
117,0.6075244707538302,0.61810493,1.0,0.820865765995139,0.7121721,1.0,11,11.746982,0.0,37.006901964343456,50.092663,1.0,3.4298927598324003,6.0387626,1.0,6.633240037928152,4.071384,1.0,8.798801560951548,13.018722,1.0,0.2300361845342492,0.24384837,1.0
118,0.718848455908836,0.7800189,0.0,0.7801856104348105,0.7876808,1.0,8,5.7270174,0.0,37.34038198267133,65.001656,1.0,3.1234842329310206,6.3354344,1.0,38.17095447724633,22.704012,1.0,27.33921007719888,24.025738,1.0,0.03025892755949593,0.04251252,1.0
119,0.9764949403182588,0.84620047,0.0,0.627516668772768,0.57474464,1.0,10,7.088622,0.0,23.29272168703643,32.355537,1.0,7.160704446683057,11.086573,1.0,2.339216436405981,4.3784895,1.0,15.695267111071171,19.660078,1.0,0.025882645053697646,0.030244797,1.0
120,0.9401089063074295,0.91695166,1.0,0.9417401201509701,0.9210853,1.0,10,10.22403,1.0,77.89498842892829,27.63318,0.0,1.6372924605064698,5.72887,1.0,1.1243792422699719,8.617277,0.0,19.439328912400256,9.656637,1.0,0.015372837411183215,0.061349533,1.0
121,0.5864149789893847,0.58306396,1.0,0.8170357479467371,0.7170116,1.0,5,5.2739882,1.0,55.13203178058798,48.509666,1.0,1.2204685190930433,6.379923,0.0,1.8898390238805667,4.9673476,1.0,49.39000224802194,12.5881405,0.0,0.12443196403329204,0.25489402,1.0
122,0.6220369130726968,0.62116694,1.0,0.5836176975892949,0.72053474,1.0,7,7.1923723,1.0,72.54049828687135,48.982327,1.0,5.316821486185143,6.9129953,1.0,4.114893615777431,4.438479,1.0,2.27250499514719,12.0743065,1.0,0.203079471329884,0.24395458,1.0
