case,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_inv_temp,mu_inv_temp,hit90_inv_temp,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_go_error,mu_cost_go_error,hit90_cost_go_error,gt_cost_time,mu_cost_time,hit90_cost_time
84,0.7804152650468827,0.72357726,0.0,0.5434509539775043,0.53057534,1.0,9,8.690685,1.0,49.517754320867496,27.377281,1.0,6.02591148543523,6.958499,1.0,3.9643233221735987,4.7872725,1.0,0.013412523889958918,0.011321781,1.0
85,0.900142975764421,0.8365847,1.0,0.7898206260845251,0.80675864,1.0,9,8.606531,1.0,61.23040298768386,67.62407,1.0,8.744425371123452,12.011312,1.0,1.1216612350623199,5.3827577,0.0,0.025999498053636907,0.04920221,1.0
86,0.8021593829642246,0.6828358,1.0,0.7788992409904874,0.8327893,1.0,10,10.035195,1.0,70.94980341028977,61.271885,1.0,32.70754811970093,28.757961,1.0,34.328220419184014,16.336403,1.0,0.014351272817805199,0.05917148,1.0
87,0.7150362091312245,0.66323155,0.0,0.6282092614131177,0.67528135,0.0,13,11.350202,0.0,54.44851746761681,70.17481,1.0,31.751355511614175,22.386118,1.0,2.826347890543324,4.904922,1.0,0.06267066726872161,0.060602244,1.0
88,0.6732028895039615,0.6671216,1.0,0.9497150880831271,0.73566103,1.0,5,4.7442665,1.0,96.91798605116992,44.937725,0.0,20.0040916255992,22.980024,1.0,15.535420813009992,21.354027,1.0,0.1382985831653035,0.038919978,0.0
89,0.6716628430191867,0.6806845,1.0,0.5405323132041704,0.54072535,1.0,15,13.859803,0.0,37.11305451562876,64.33966,1.0,12.385303146651196,13.253718,1.0,2.6889680312625615,2.31565,1.0,0.017116826355294656,0.021211071,1.0
90,0.7599545149435027,0.75576746,1.0,0.9404956205285282,0.9272002,1.0,7,7.7163434,1.0,72.63301537182711,44.320526,1.0,8.40912789925244,5.0315323,1.0,8.981762255742195,9.445291,1.0,0.12942882763334101,0.09570442,1.0
91,0.7386159567788375,0.72375405,1.0,0.9323013486675227,0.8668611,1.0,5,4.6898375,1.0,20.233345939589825,36.12685,1.0,24.428741363460063,20.963068,1.0,1.3747593536155849,19.327215,0.0,0.01565056367067893,0.050598655,1.0
92,0.9634124853592438,0.9526509,1.0,0.9088754052139066,0.8951771,1.0,6,5.7605643,1.0,73.76306047059236,61.253056,1.0,7.082966990043977,7.9867945,1.0,24.81949680067392,18.923079,1.0,0.0941318530925932,0.108797,1.0
93,0.5970635561608353,0.60309994,1.0,0.6093742141140412,0.88666487,0.0,10,9.076864,0.0,56.37590434078954,40.741486,1.0,1.1394132569713238,4.851163,0.0,8.503783608431077,7.8669558,1.0,0.012099542553040505,0.023623433,1.0
94,0.6546834579642078,0.6688483,1.0,0.836419084927134,0.9125164,1.0,10,10.181219,1.0,60.24406075217448,54.366234,1.0,9.04409692051983,8.765938,1.0,7.602366402092744,10.786455,1.0,0.14722296656447295,0.17498994,1.0
95,0.9405970018493155,0.9233409,0.0,0.5591315732278537,0.6215776,1.0,11,11.10893,1.0,73.11068377931058,59.607994,1.0,3.104975292932203,4.160918,1.0,24.69732464087809,17.784348,1.0,0.2570084936474214,0.28633606,1.0
96,0.7108304484801393,0.7279191,1.0,0.5287962254180396,0.5716072,1.0,14,14.074083,1.0,23.828547296158586,47.4688,1.0,1.5067062328324956,2.5236347,1.0,19.215024184805863,12.807377,1.0,0.16326951715016366,0.08375684,1.0
