case,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_time,mu_cost_time,hit90_cost_time
124,0.9684453020348296,0.78933567,1.0,0.8677345355551107,0.8060714,1.0,16,13.773263,0.0,43.42369397950285,41.410763,1.0,0.05592551839299834,0.02837089,1.0
125,0.6124551074043401,0.6157434,1.0,0.5775576872327346,0.70218706,1.0,4,4.2972484,0.0,35.87522917945711,13.316238,1.0,0.49375723117399883,0.40481302,1.0
126,0.8837532928275849,0.9196571,1.0,0.5865162319666947,0.6216351,1.0,5,5.3332067,1.0,1.6927821527701237,1.7088563,1.0,0.01473536242800481,0.015553964,1.0
127,0.8257964869331424,0.85425264,1.0,0.9143172740637158,0.7523317,1.0,7,6.8400006,1.0,5.243716556518851,8.16531,1.0,0.18966908737938215,0.19559598,1.0
128,0.7784076783686492,0.7456918,1.0,0.975734119947309,0.95203066,1.0,9,8.933031,1.0,1.0759226034389116,1.5538347,1.0,0.21359267603422033,0.2029156,1.0
129,0.8210348378545926,0.8077057,1.0,0.9405655712580849,0.8718984,0.0,5,4.443591,1.0,22.17441528028674,29.722872,0.0,0.013129690792721081,0.049330935,1.0
130,0.7154696863851111,0.72928846,1.0,0.9804188314360939,0.9220793,1.0,16,15.161855,0.0,4.211332244957177,7.350833,1.0,0.019524451350855634,0.04484148,1.0
131,0.6373448778293027,0.6065067,1.0,0.9431227353167968,0.7328001,1.0,14,13.9342985,1.0,1.9878225437493537,5.4631715,1.0,0.3488451625791131,0.28559956,1.0
132,0.8258153718572645,0.82173043,1.0,0.6374599947497449,0.6685103,1.0,11,10.880252,1.0,17.9005073569475,20.333397,1.0,0.20414121728359425,0.26095393,1.0
133,0.733357338413459,0.68893427,0.0,0.8175004974526722,0.83003503,1.0,9,8.803328,1.0,19.786393647177302,18.818132,1.0,0.270804122107195,0.26607752,1.0
134,0.5621760581810091,0.5900001,1.0,0.9723417790698985,0.7365851,1.0,4,4.2629275,0.0,1.1758309767641248,3.2690194,1.0,0.24978085285222434,0.21694195,1.0
135,0.8694111902147315,0.82360464,0.0,0.8362985738081861,0.86076456,1.0,10,9.941016,1.0,12.721710914393645,14.716302,1.0,0.2235320344476104,0.26414648,1.0
136,0.8604027980055418,0.8974076,1.0,0.7220544874753512,0.7190949,1.0,13,12.170771,1.0,8.568855104847147,6.2519855,1.0,0.03710582994790401,0.020560697,1.0
137,0.7804371158228571,0.7968828,1.0,0.7775262541147581,0.7854452,1.0,9,8.01191,1.0,42.9783289111895,40.31995,1.0,0.020560759632570508,0.025913056,1.0
138,0.9917379407151298,0.9108682,0.0,0.9588616056120454,0.93613136,1.0,12,12.331396,1.0,4.930738623616624,4.3213887,1.0,0.028720196241981633,0.026066154,1.0
139,0.6693299775339757,0.66011137,1.0,0.9393294781976149,0.73190624,1.0,14,13.99228,1.0,2.094801077357853,5.8253956,1.0,0.33272300752682654,0.30789715,1.0
140,0.9868025253943622,0.9920576,1.0,0.8515065500372923,0.8889113,1.0,14,14.385842,1.0,2.2848755085367936,2.3835518,1.0,0.02419327510172463,0.024026277,1.0
141,0.7174129162248462,0.7186495,1.0,0.8962115625950571,0.6828562,1.0,4,4.301442,0.0,17.242037266946795,17.654095,1.0,0.43145921657945235,0.42685172,1.0
142,0.7800266252736641,0.8188895,1.0,0.7361774928755112,0.75189185,1.0,6,5.7931733,1.0,33.48144370624203,30.53698,1.0,0.04421214616983726,0.029108638,1.0
