case,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_q_d_n,mu_q_d_n,hit90_q_d_n,gt_q_s_n,mu_q_s_n,hit90_q_s_n,gt_tau,mu_tau,hit90_tau,gt_inv_temp,mu_inv_temp,hit90_inv_temp,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_time,mu_cost_time,hit90_cost_time
42,0.5476047199547651,0.6433029,1.0,0.8218222568823981,0.7453683,1.0,0.0600286320355613,0.62075955,0.0,0.6351741575958619,0.5359185,1.0,7,7.118005,1.0,46.9433307191356,46.75429,1.0,3.48669301909264,6.7065754,1.0,0.08970664332237718,0.21520515,1.0
43,0.6848962280945587,0.74692976,1.0,0.968975635157553,0.9355152,1.0,0.33843730360663005,0.64072937,1.0,0.8335681285876881,0.81428343,1.0,10,10.220973,1.0,70.74277246319767,67.524185,1.0,34.69865074901218,37.939846,1.0,0.2946810360956779,0.3303918,1.0
44,0.714708211700164,0.7870353,1.0,0.6451433795435766,0.66364974,1.0,0.3268621191763271,0.5075936,1.0,0.8355919803784492,0.5940178,1.0,7,6.026043,0.0,66.15094839596586,64.51021,1.0,7.595213360921709,8.284553,1.0,0.02056375959417114,0.023064766,1.0
45,0.6024736838102458,0.64210206,1.0,0.5693554602852018,0.73240423,1.0,0.7870418788124858,0.6586714,1.0,0.9419811766771322,0.5220834,1.0,13,13.102311,1.0,14.854462746085705,63.864788,0.0,9.65919863429916,8.793624,1.0,0.4047597830564053,0.3072337,1.0
46,0.7434113390762352,0.7531067,1.0,0.5397196571086045,0.66339505,1.0,0.2768768547689706,0.26285395,1.0,0.12826105395703968,0.57396615,1.0,12,12.133947,1.0,45.33168758908107,66.21314,1.0,3.375138774811074,3.9824913,1.0,0.16835840056161133,0.24680829,1.0
47,0.9792899804077461,0.97350085,1.0,0.8013604324681872,0.8248707,1.0,0.12419121510698206,0.1210525,1.0,0.49423620588170203,0.5416999,1.0,6,6.3871384,1.0,81.0236337299025,59.099483,1.0,35.3362960312189,19.644688,1.0,0.432510895535927,0.23607321,1.0
48,0.6470536875240522,0.66389465,1.0,0.544446039604289,0.6550945,1.0,0.41481364996334325,0.5288983,1.0,0.6597912505116695,0.69587195,1.0,9,7.7935863,0.0,14.227053947143137,43.262257,0.0,8.13340509300346,7.170152,1.0,0.02119299259419497,0.028234577,1.0
49,0.5096602204260023,0.59630746,1.0,0.6668925542923025,0.7317109,1.0,0.514236433744044,0.70537394,1.0,0.14868603494477306,0.47969258,1.0,11,11.098574,1.0,39.12748182415272,37.163876,1.0,1.815877911362223,2.0755365,1.0,0.045603537303061596,0.09304983,1.0
50,0.9161743458209248,0.85615003,1.0,0.5315778504933275,0.5567076,1.0,0.9387112852095619,0.88734937,1.0,0.12027799806607753,0.40110543,1.0,4,4.2719755,1.0,30.54362209699096,47.332485,1.0,11.915446903985135,10.574135,1.0,0.03873251128609188,0.037844658,1.0
51,0.5444996475317322,0.67660856,1.0,0.8792393504690976,0.7280078,1.0,0.0008666168208679714,0.6061545,0.0,0.2210014498069267,0.5313003,1.0,15,15.035103,1.0,53.52438746961742,62.39286,1.0,2.524253053889864,8.709611,1.0,0.09973869983683055,0.3221559,0.0
