case,gt_q_d,mu_q_d,hit90_q_d,gt_q_d_n,mu_q_d_n,hit90_q_d_n,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_inv_temp,mu_inv_temp,hit90_inv_temp
160,0.9143493130919409,0.89973134,1.0,0.9241787307095166,0.91350824,1.0,0.6412539511755967,0.6497418,1.0,11,10.927647,1.0,72.78313714949577,46.30785,1.0
161,0.5833833220034479,0.5545328,0.0,0.7796729812359516,0.31572846,0.0,0.7665325509077816,0.7671597,1.0,4,4.478766,0.0,46.280435571834445,45.191296,1.0
162,0.7283459197432951,0.7373109,1.0,0.7274606825418108,0.7160648,1.0,0.9374258487715845,0.9522697,0.0,14,13.102311,1.0,97.20920729708676,94.23983,1.0
163,0.5002246350848834,0.5072276,1.0,0.26027144762556786,0.60399044,1.0,0.7026292672330441,0.68255484,1.0,14,13.838917,1.0,62.294859366434196,46.270496,1.0
164,0.5985395085360647,0.5951873,1.0,0.8739687814373458,0.7409775,1.0,0.8906958182368243,0.9043163,1.0,13,12.908661,1.0,28.39317700157504,30.190601,1.0
165,0.5201809411159606,0.56184226,1.0,0.2817730354734418,0.6355996,1.0,0.9140465172003532,0.92100227,1.0,8,7.562317,1.0,80.86650988093278,80.89513,1.0
166,0.6238219223736163,0.6248317,1.0,0.6107444470370053,0.6346883,1.0,0.6385919165360747,0.6448532,1.0,8,8.173237,1.0,57.685838341626685,60.152943,1.0
167,0.6867295191599256,0.62632227,0.0,0.8054704377313441,0.4663236,0.0,0.9065609510547299,0.91161233,1.0,12,12.6196375,1.0,43.38233101041144,41.365494,1.0
168,0.6515041654352673,0.6010689,0.0,0.8400022538294981,0.47873166,0.0,0.676417056258589,0.6725984,1.0,15,15.044922,1.0,20.05467673810569,19.995554,1.0
169,0.8467225153443294,0.8579187,1.0,0.350862366418048,0.4025043,1.0,0.9301731632237993,0.92419696,1.0,9,8.723114,1.0,56.9517422706767,61.21965,1.0
170,0.6646085203983864,0.65353817,1.0,0.15608670518103385,0.1659562,1.0,0.6595637517575181,0.7097868,0.0,7,6.7693415,1.0,58.39699438703492,55.99678,1.0
171,0.5688580271516644,0.59470326,1.0,0.16895731442207484,0.4780638,1.0,0.8927976385443672,0.851775,1.0,10,10.290979,1.0,16.39770507073024,14.580742,1.0
172,0.5904384377503613,0.51058626,0.0,0.9822238708412662,0.5754424,1.0,0.9386880430775981,0.86586106,0.0,15,14.978726,1.0,25.92387138248175,28.104996,1.0
173,0.7215974751780692,0.67812514,1.0,0.7689960505456533,0.6390982,0.0,0.8039071562832947,0.81412435,1.0,5,6.008492,1.0,54.49656365529716,34.679806,0.0
174,0.7354136165292111,0.74904746,1.0,0.1569022210660025,0.2584376,1.0,0.7936854719227944,0.77702075,1.0,6,6.073277,1.0,74.09275181534021,75.733925,1.0
175,0.8658290075770867,0.88153136,1.0,0.5956639247336744,0.5411853,1.0,0.89490711965782,0.9656604,0.0,9,9.195039,1.0,21.621033410780274,21.528376,1.0
176,0.8936558557453818,0.90317005,1.0,0.903288262483421,0.9132611,1.0,0.7436040856079961,0.770686,1.0,15,15.070408,1.0,98.81729915071418,71.09892,0.0
177,0.6502891916291131,0.6474079,1.0,0.6026646193425069,0.49187812,1.0,0.8729857938374425,0.8646414,1.0,12,13.461527,1.0,56.057894416526516,37.67286,1.0
178,0.7554355496436009,0.766929,1.0,0.35745401820649103,0.2097647,1.0,0.7586613723516531,0.75198424,1.0,15,15.115822,1.0,54.17039269919627,62.659695,1.0
179,0.7651239708605653,0.72547984,1.0,0.47183341210975005,0.25049746,1.0,0.8396682197145086,0.84327394,1.0,5,5.2402616,1.0,68.06750044336803,61.380333,1.0
180,0.5856109542513235,0.6267171,1.0,0.7540261021690784,0.7160625,1.0,0.9357411199012733,0.9111039,1.0,7,7.040864,1.0,20.746945615559902,19.150965,1.0
181,0.8524957602169474,0.82461244,1.0,0.31916892054455337,0.2606941,1.0,0.6302325767736567,0.63264114,1.0,9,8.821205,1.0,74.01386750888364,76.653915,1.0
182,0.8877174969313205,0.5618469,0.0,0.9906360136461819,0.5825105,0.0,0.9491367388281776,0.9143514,1.0,10,10.127897,1.0,23.42089351084111,21.593668,1.0
183,0.8074761526711348,0.816355,1.0,0.5637354569790035,0.54940134,1.0,0.6244289031025536,0.63261414,1.0,15,15.006884,1.0,96.200564379556,80.18924,1.0
184,0.7217802879989323,0.71946424,1.0,0.03707811676595574,0.06990294,1.0,0.6331468941417796,0.63104004,1.0,12,12.7248745,1.0,66.56239468549393,46.116776,1.0
185,0.7692166149244823,0.76456225,1.0,0.1078133294522221,0.101688795,1.0,0.5967895815156667,0.55999815,0.0,8,8.125909,1.0,12.727402471516164,20.132093,0.0
186,0.5609273676668411,0.5574844,1.0,0.1445069836856534,0.48949024,1.0,0.5748580803585439,0.55821776,1.0,15,15.08683,1.0,79.74398809085301,57.54203,1.0
187,0.6805122019039007,0.5460432,0.0,0.908262974000748,0.5898815,1.0,0.5456245522644108,0.55980766,1.0,10,10.163674,1.0,93.71168671828161,73.28658,1.0
188,0.7373701643138537,0.7936902,0.0,0.4989273351608391,0.49640852,1.0,0.7803810808566973,0.7637518,1.0,12,13.139283,1.0,75.77930740454374,50.487587,0.0
189,0.9994780772932077,0.98857486,1.0,0.036059770648498746,0.065165095,1.0,0.9646460193703625,0.9785586,0.0,15,15.256227,1.0,67.89264542922254,66.63828,1.0
190,0.5917596843810341,0.54214793,1.0,0.9947736344187501,0.58313763,0.0,0.5464710160867261,0.5532655,1.0,8,8.188053,1.0,19.365372827710136,25.672382,1.0
191,0.8073887428179822,0.86408925,1.0,0.5752453113557064,0.67538846,1.0,0.7328850229042235,0.74354273,1.0,11,10.827292,1.0,57.677686554531924,64.27182,1.0
192,0.5764128526474757,0.553442,1.0,0.8234542363428091,0.6753645,1.0,0.7052570911774396,0.7085746,1.0,6,6.167953,1.0,19.776784433595417,40.42025,0.0
193,0.7523783541346456,0.7355287,1.0,0.8275674605495213,0.79413116,1.0,0.6001455388592465,0.5886689,1.0,15,15.028361,1.0,10.277535519241317,15.426279,0.0
194,0.5288483882465775,0.5608489,0.0,0.36211640698629666,0.74957144,1.0,0.8218567760425458,0.80851585,1.0,6,6.2594824,1.0,58.269431342806925,60.003265,1.0
195,0.7524571488813084,0.6823113,1.0,0.9849469665087136,0.882161,1.0,0.8776291639410239,0.8804762,1.0,6,6.8774495,1.0,85.29294526716923,75.644615,1.0
196,0.7775094061017095,0.6829913,0.0,0.8261809010657264,0.58787197,0.0,0.9953880259584864,0.99665785,1.0,15,15.365292,1.0,89.98725139870848,92.908775,1.0
197,0.5692835036268624,0.5628979,1.0,0.4027788441313971,0.366385,1.0,0.7770044632221742,0.77317345,1.0,6,6.553954,1.0,55.88642257722537,57.06829,1.0
198,0.8683174909314602,0.8623447,1.0,0.601946309103839,0.6135947,1.0,0.5763870298511653,0.57262355,1.0,13,13.075943,1.0,28.25371493872168,30.572376,1.0
199,0.8591828509053774,0.8579048,1.0,0.6756024563039896,0.67553675,1.0,0.6967915645404044,0.69783115,1.0,14,13.816017,1.0,99.70804466045763,80.9402,0.0
