case,gt_q_d_n,mu_q_d_n,hit90_q_d_n,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_time,mu_cost_time,hit90_cost_time
102,0.9790026258191844,0.8162201,0.0,0.691741690167315,0.646057,1.0,0.5285881877638223,0.54469305,1.0,14,14.293805,1.0,30.914001059573206,29.074324,1.0,0.1840275619759717,0.18719359,1.0
103,0.4124660666601845,0.43252355,1.0,0.6580789390322492,0.685504,1.0,0.6327576672656078,0.626523,1.0,13,12.892059,1.0,48.34604046990643,43.19397,1.0,0.24899238506867458,0.2175997,1.0
104,0.12772493969830667,0.31921065,1.0,0.6491988290176246,0.64892066,1.0,0.8877095081849091,0.8219567,1.0,7,7.640759,1.0,10.040742527202864,7.3432856,1.0,0.11917829355541419,0.09185341,1.0
105,0.24665825706628375,0.3104397,1.0,0.928882318384032,0.90717965,1.0,0.6609766976395608,0.65328646,1.0,5,7.948713,0.0,28.016690243993605,40.08134,1.0,0.08653473357775458,0.1657447,0.0
106,0.7620929253862602,0.4814771,1.0,0.8548776622428627,0.8367616,1.0,0.5756848929201863,0.57894814,1.0,14,12.673327,0.0,12.900215191691734,16.535625,1.0,0.015175535641778252,0.019655323,1.0
107,0.22043200140158226,0.47275183,1.0,0.7903901213101305,0.8520702,1.0,0.7093547720434381,0.7789465,0.0,6,8.078904,0.0,24.567176581688468,30.879356,1.0,0.0971832329298995,0.18784308,0.0
108,0.25500748697951525,0.427039,1.0,0.7981218156084453,0.8456933,1.0,0.8554600655630076,0.85232204,1.0,16,15.533953,1.0,4.396620125720495,7.583038,1.0,0.039669343537084796,0.073585,1.0
109,0.5424394547998114,0.28933048,1.0,0.9209248705044318,0.88924307,1.0,0.807533862817716,0.8309241,1.0,16,15.491278,1.0,11.417610214053777,12.349152,1.0,0.12293704442481347,0.122826315,1.0
110,0.36364042418632236,0.37080058,1.0,0.6525810615036287,0.66995484,1.0,0.6391722180236697,0.5497461,0.0,15,14.32552,1.0,0.6824561325204132,1.2098439,1.0,0.021079430990334967,0.021688228,1.0
111,0.8472226167810946,0.5963252,1.0,0.5620299347400024,0.6329514,1.0,0.6587331382011397,0.7538133,1.0,7,7.1668406,1.0,1.0627856348733342,1.7866933,1.0,0.11522136780121693,0.14779916,1.0
112,0.626751483805743,0.39240947,1.0,0.7342475705780365,0.7005,1.0,0.637828577013106,0.746165,1.0,7,7.184134,1.0,1.0247888286684192,6.684062,1.0,0.37281467772835897,0.34366786,1.0
113,0.3269492472121638,0.21969925,1.0,0.8167252210032568,0.798897,1.0,0.7248249644182152,0.75529456,1.0,6,6.2222624,1.0,2.06588613976293,4.9508905,1.0,0.4315658879499625,0.2977709,1.0
114,0.5695625335701509,0.5069627,1.0,0.9971713628541078,0.9844986,0.0,0.7551441014785238,0.79973215,1.0,9,9.220076,1.0,2.452060151573435,2.4545805,1.0,0.34155629988629277,0.13384847,0.0
115,0.3326141694915581,0.402191,1.0,0.7101207267523032,0.82707965,1.0,0.7904594290825016,0.7514443,1.0,11,9.996638,1.0,40.32690519631933,42.937424,1.0,0.02954708732586208,0.015416835,1.0
116,0.6585891012024636,0.7886436,1.0,0.6840824503323953,0.71842116,1.0,0.6200867222099748,0.67157257,0.0,15,13.819579,0.0,10.883270431788246,14.055925,1.0,0.009813736489498483,0.023127355,1.0
117,0.29717032546394806,0.5321053,1.0,0.7737638298202184,0.8434447,1.0,0.9564950377187813,0.8906654,1.0,6,6.733968,1.0,1.0776245831634843,0.7485974,1.0,0.032814984282759085,0.030283662,1.0
118,0.010596238541409342,0.27682513,0.0,0.9913090271898142,0.98839134,1.0,0.9725235322198618,0.76181674,0.0,4,4.561408,0.0,0.5696955456163124,5.4821014,0.0,0.016409170272508995,0.096117295,0.0
119,0.32698850980251115,0.44071874,1.0,0.6802573804101202,0.6971481,1.0,0.6684541886378167,0.67131233,1.0,5,4.6018085,1.0,0.592647940484653,0.9612954,1.0,0.007929553290086643,0.008984373,1.0
