case,gt_q_d,mu_q_d,hit90_q_d,gt_q_s,mu_q_s,hit90_q_s,gt_tau,mu_tau,hit90_tau,gt_cost_stop_error,mu_cost_stop_error,hit90_cost_stop_error,gt_cost_go_error,mu_cost_go_error,hit90_cost_go_error,gt_cost_time,mu_cost_time,hit90_cost_time
82,0.925827415274656,0.95703685,1.0,0.8292431540184109,0.73104197,1.0,14,14.59623,1.0,2.0452769926227403,2.8330734,1.0,37.9485978916734,47.041546,0.0,0.0321499469627679,0.03450304,1.0
83,0.7124606259943749,0.72259927,1.0,0.5128570994339228,0.54038286,1.0,13,12.667076,1.0,2.553039864270853,2.3510885,1.0,2.4459484970095002,1.9810191,1.0,0.016785091080561292,0.014679572,1.0
84,0.9332520152795445,0.9063903,1.0,0.5996400356976122,0.5878425,1.0,11,9.054737,0.0,13.971592544331598,11.469187,1.0,9.711586614913607,7.098535,1.0,0.05269837670899337,0.02945834,1.0
85,0.7358596005448637,0.8839207,0.0,0.9866763738858928,0.90964144,1.0,12,10.595527,0.0,11.29424327203255,15.187074,1.0,46.125413512915685,21.606964,1.0,0.017920786506931633,0.031803153,1.0
86,0.9356684040335355,0.92601943,1.0,0.9859088087279334,0.9285602,0.0,7,6.492082,1.0,1.249914940202348,1.87135,1.0,37.363668472249856,43.252964,1.0,0.037144676189940336,0.09532359,0.0
87,0.8815863437485268,0.8585733,1.0,0.8751455028985435,0.70948946,1.0,6,6.050544,1.0,10.119667052378684,17.648657,1.0,1.468021772627239,1.3521113,1.0,0.2899731988920485,0.43010065,0.0
88,0.7553289938864911,0.76163733,1.0,0.859625697869806,0.85814273,1.0,15,14.798282,1.0,5.558479617009791,4.2903438,1.0,12.46838931270708,19.454332,1.0,0.2657805243386052,0.26912263,1.0
89,0.7131128049611438,0.71924967,1.0,0.8624467666301098,0.8399709,1.0,13,13.103064,1.0,1.1081728307072867,5.066037,0.0,14.067261926924637,12.458142,1.0,0.46961779785701385,0.34836504,1.0
90,0.5305901094945797,0.59573865,0.0,0.5285592834008147,0.72353476,1.0,4,4.456901,0.0,8.208028580575718,15.569369,1.0,2.258663186186672,2.3771958,1.0,0.3258697885377482,0.39241657,1.0
91,0.5579506552747561,0.5625011,1.0,0.8769013923286202,0.8352201,1.0,7,5.639954,0.0,7.331413584949796,7.1416936,1.0,11.501028932509309,9.042109,1.0,0.04528965288155007,0.02793429,1.0
92,0.6163214422847626,0.7006974,0.0,0.8186373813084347,0.72825384,1.0,13,12.933701,1.0,5.447343415686287,15.993721,1.0,1.5939274597248163,1.8658752,1.0,0.3009356490502996,0.39423823,1.0
93,0.9010532120524446,0.85922074,1.0,0.990332170407535,0.9534572,1.0,5,4.796133,1.0,7.211044561783747,11.239799,1.0,3.70159690908033,5.4461718,1.0,0.02255913186146362,0.06437675,1.0
94,0.8541934720961665,0.78256947,0.0,0.6951334539690979,0.5898986,1.0,9,8.104671,0.0,5.886284663423712,4.4505,1.0,30.53375282366496,41.20836,0.0,0.0584263137595157,0.059376273,1.0
95,0.9935367455317795,0.9898287,1.0,0.6074707912771642,0.7251086,1.0,10,10.080026,1.0,6.049167400458837,14.548336,1.0,1.1408564358223443,1.497061,1.0,0.49827841410933493,0.42730474,1.0
96,0.8105638830466673,0.8296514,1.0,0.8338982311463039,0.7922328,1.0,5,5.1351385,1.0,3.2899856722730507,3.530852,1.0,12.440237672067688,10.416041,1.0,0.033762543170331366,0.029523183,1.0
97,0.6303105611746986,0.5985256,0.0,0.5838942857898862,0.6419955,0.0,13,11.6224785,0.0,26.057544222773434,30.16868,1.0,1.1868447031219513,1.9674048,1.0,0.010808083662427926,0.027730236,0.0
98,0.7077889832980049,0.7566253,0.0,0.8779384639380576,0.7134764,1.0,15,14.989225,1.0,2.8869929801805108,8.146904,1.0,3.344397557227641,2.1037283,1.0,0.4703741022537777,0.34886754,1.0
99,0.5946152059777365,0.59028673,1.0,0.8707038279848942,0.83540833,1.0,7,6.1513896,1.0,4.485228183257726,3.361656,1.0,27.94189525434792,31.618622,1.0,0.19700434676962414,0.21309368,1.0
100,0.6776762587966868,0.69058114,1.0,0.6773713063610507,0.6646842,1.0,14,12.282078,0.0,32.67785465119467,28.711746,1.0,23.590221595539163,10.035708,1.0,0.14302660728052763,0.10266761,1.0
101,0.9584833929217715,0.8448197,1.0,0.6007435954429533,0.6230797,1.0,10,8.699925,0.0,20.020157202857362,17.542494,1.0,34.5762428282211,31.729284,1.0,0.06398999740898893,0.051367503,1.0
102,0.9895013129095922,0.88742477,0.0,0.691741690167315,0.6454846,1.0,5,4.366243,1.0,26.27369539462116,13.510665,1.0,33.234180531299806,29.808613,1.0,0.21390429074947723,0.08136553,0.0
103,0.7062330333300922,0.6751156,0.0,0.6580789390322492,0.73646647,1.0,7,5.522044,0.0,19.421990777166194,22.294586,1.0,48.59144328512044,34.314674,1.0,0.27654103836052946,0.26633155,1.0
104,0.5638624698491533,0.5541458,1.0,0.6491988290176246,0.6066565,1.0,13,13.403752,1.0,2.8798478014684834,4.058581,1.0,12.785140805771729,13.6556015,1.0,0.147888299640284,0.1560286,1.0
105,0.6233291285331419,0.6338633,1.0,0.928882318384032,0.89556736,1.0,8,7.5101805,1.0,1.1897704910211022,2.1784482,1.0,30.568867833921125,36.768658,1.0,0.11268074436082266,0.123998135,1.0
106,0.88104646269313,0.7834193,1.0,0.8548776622428627,0.76046944,0.0,6,5.3735156,1.0,27.85426077942923,39.046246,0.0,15.81815851001557,12.704225,1.0,0.025680270997900618,0.030881448,1.0
107,0.6102160007007911,0.614428,1.0,0.7903901213101305,0.76760256,1.0,9,7.6221867,0.0,1.6452275787813084,1.7795628,1.0,27.34049649096959,36.092743,1.0,0.12435535743024391,0.12618816,1.0
108,0.6275037434897577,0.79286146,1.0,0.7981218156084453,0.75590026,1.0,13,11.520849,0.0,43.48936903817168,43.438892,1.0,6.33928626381671,15.483897,1.0,0.058089685487812,0.024353042,0.0
109,0.7712197273999057,0.8109635,1.0,0.9209248705044318,0.87110764,1.0,11,9.263768,0.0,43.401622521417686,35.50898,1.0,14.259843139514986,13.32691,1.0,0.1518412026666104,0.04974181,0.0
110,0.6818202120931611,0.6558014,1.0,0.6525810615036287,0.7094057,0.0,7,6.595922,1.0,36.04325093924329,26.408426,0.0,1.3024751533501446,2.2473593,1.0,0.03394952723623189,0.022753133,1.0
111,0.9236113083905473,0.92214936,1.0,0.5620299347400024,0.6789452,1.0,8,8.213405,1.0,2.8705187653209374,2.4608774,1.0,1.897516982032087,3.850498,1.0,0.143706645468353,0.2122122,1.0
112,0.8133757419028715,0.79736584,1.0,0.7342475705780365,0.7166869,1.0,7,7.1377707,1.0,2.9974892662375496,10.777065,1.0,1.8397305278140808,1.7922686,1.0,0.38965495468101685,0.35878322,1.0
113,0.6634746236060819,0.6895991,1.0,0.8167252210032568,0.725201,1.0,9,9.232806,1.0,1.7556514069538895,15.382261,1.0,3.337325847408336,1.8745441,1.0,0.44123348558680386,0.39475024,1.0
114,0.7847812667850754,0.7638332,1.0,0.9971713628541078,0.78422374,0.0,10,10.1447525,1.0,5.765133400140988,4.93617,1.0,3.860302255407081,3.1245131,1.0,0.36172097425167116,0.23472229,1.0
115,0.666307084745779,0.68627244,1.0,0.7101207267523032,0.79717696,1.0,11,10.134287,0.0,9.352931036238735,7.0960546,1.0,41.653284125985365,36.795727,1.0,0.04522885848105872,0.024922116,1.0
116,0.8292945506012318,0.856104,1.0,0.6840824503323953,0.71845436,1.0,7,6.800624,1.0,32.90370588862966,32.83507,1.0,13.69090148283451,4.1488442,1.0,0.017733069059963982,0.022203445,1.0
117,0.6485851627319741,0.6458808,1.0,0.7737638298202184,0.68473554,1.0,15,14.894266,1.0,2.088399084711709,5.0035386,1.0,1.9199994859454932,4.196534,1.0,0.049444280433147816,0.10631249,1.0
118,0.5052981192707047,0.5259589,0.0,0.9913090271898142,0.76712304,0.0,15,15.116791,1.0,1.1031316082255862,2.8571959,0.0,1.117230311855114,8.420392,0.0,0.027443109956370924,0.1148275,0.0
119,0.6634942549012556,0.6743229,1.0,0.6802573804101202,0.6605735,1.0,8,7.8745184,1.0,1.349809160534553,2.049447,1.0,1.1553531114717293,2.1332543,0.0,0.014795640383654463,0.029925806,0.0
120,0.6057111829031847,0.59849524,1.0,0.670483311641701,0.7308065,1.0,9,7.3456874,0.0,3.4863864377252702,5.2633615,1.0,35.336715900618636,18.52375,0.0,0.08086985650042018,0.047079757,1.0
121,0.5469947325141622,0.55581504,1.0,0.7234261609621371,0.7609537,1.0,10,9.436695,1.0,1.5686295992800101,1.7825522,1.0,13.210238479506968,21.441902,1.0,0.07179360161123162,0.09118993,1.0
122,0.6303409563148805,0.628939,1.0,0.5144861788801052,0.7258068,0.0,10,8.638776,0.0,9.853004063782198,9.984713,1.0,19.571759299265626,30.869946,1.0,0.019690105320668266,0.038729392,1.0
